archiveId,title,missingTownship,missingSubject,missingDonation
BE143,Berwyn View,,View,
BE144,Berwyn View,,View,
BE145,Berwyn View,,View,
BE146,"Upper Bridge, Berwyn",,View,
BE147,"Upper Bridge, Berwyn",,View,
BE148,"Upper Bridge, Berwyn",,View,
BE149,"Upper Bridge, Berwyn",,View,
BE150,"Upper Bridge, Berwyn",,View,
BE151,Berwyn View,,View,
BE152,"Main Street, Berwyn",,View,
BE153,"View from Woodside Avenue tract, Berwyn",,View,
BE154,Beaumont and Newtown Roads,,View,
BE155,Berwyn View,,View,
BE156,Berwyn View,,View,
BE157,Berwyn View,,View,
BE158,Berwyn View,,View,
BE159,Berwyn View,,View,
BE16,Berwyn,,Place,
BE160,Berwyn View,,,donation:0
BE162,Conestoga and Cassatt Roads,,Place,
BE164,Old Hall - first Berwyn Town Hall,,Service,
BE165,"Lancaster and Main Avenues, Berwyn",,View,
BE166,TE History Club group,,person,
BE167,Unknown View,,View,
BE169,Berwyn Village Walk,,Place,
BE170,Berwyn Village Walk,,Place,
BE171,Berwyn Village Walk,,Place,
BE172,Berwyn Village Walk,,Place,
BE173,Berwyn Village Walk,,Place,
BE174,Berwyn Village Walk,,Place,
BE175,Berwyn Village Walk,,Place,
BE176,Berwyn Village Walk,,Place,
BE177,Berwyn Village Walk,,Place,
BE178,Berwyn Village Walk,,Place,
BE179,Berwyn Village Walk,,Place,
BE180,Berwyn Village Walk,,Place,
BE181,Rooftops of Berwyn,,View,
BE182,"Upper Bridge, Berwyn",,Road,
BE184,"Kromer Road, Wayne",,Road,
BE185,"Kromer Road, Wayne",,Road,
BE186,"Kromer Road, Wayne",,Road,
BE188,"Bridge Dedication, Berwyn",,Place,
BE189,"Bridge Dedication, Berwyn",,Place,
BE19,"Cassatt Avenue, Berwyn",,View,
BE190,"Bridge Dedication, Berwyn",,Place,
BE191,"Bridge Dedication, Berwyn",,Place,
BE192,"Bridge Dedication, Berwyn",,Place,
BE195,Billboard and Shed,,Place,
BE196,Unknown View,,Place,
BE197,"Italian Lodge, Berwyn",,Service,
BE198,"42 Bridge Avenue, Berwyn",,Place,
BE2,Italian Club,,Place,
BE20,"Traveler's Rest Tree, Waterloo Avenue, Berwyn",,View,
BE200,Berwyn Bridge dedication,,Place,
BE201,Berwyn Bridge dedication,,Place,
BE202,Berwyn Bridge dedication,,Place,
BE203,Berwyn Bridge dedication,,Place,
BE204,Berwyn Bridge dedication,,Place,
BE205,Berwyn Bridge dedication,,Place,
BE206,Berwyn Bridge dedication,,Place,
BE207,Berwyn Bridge dedication,,Place,
BE208,Berwyn Village Walk,,Place,
BE209,Berwyn Village Walk,,Place,
BE21,"Traveler's Rest Tree, Waterloo Avenue, Berwyn",,View,
BE210,Berwyn Village Walk,,Place,
BE211,Berwyn Village Walk,,Place,
BE212,Berwyn Village Walk,,Place,
BE213,Berwyn Village Walk,,Place,
BE214,Antique Car at Berwyn Station,,Place,
BE215,Antique Car at Berwyn Station,,Place,
BE216,Antique Car at Berwyn Station,,Place,
BE217,Aquilante’s Trolley at Berwyn Station,,Place,
BE218,Exhibits at Berwyn Station,,Place,
BE219,Berwyn War Memorial,,Service,
BE22,"Traveler's Rest Tree, Waterloo Avenue, Berwyn",,View,
BE220,Unidentified view in Berwyn,,View,
BE223,"Lancaster Avenue, Berwyn",,View,
BE226,"Warren Avenue, Berwyn",,Road,
BE227,Berwyn View,,View,
BE228,"Lancaster Pike, Berwyn",,Berwyn,
BE229,A view of North Berwyn from Berwyn Station,,Berwyn,
BE23,"Traveler's Rest Tree, Waterloo Avenue, Berwyn",,View,
BE230,"Berwyn, PA.",,Berwyn,
BE24,"Berwyn & Main Avenues, Berwyn",,View,
BE25,"Cassatt Avenue, Berwyn",,View,
BE28,Berwyn Fire Company,,Service,
BE29,Berwyn Fire Company,,Service,
BE3,Berwyn Post Office & Store,,Businesses,
BE30,"Lincoln, Highway, Berwyn",,View,
BE31,"Lancaster Avenue, Berwyn",,View,
BE33,"Lincoln Highway, Berwyn",,Place,
BE34,"Lincoln Highway, Berwyn",,Place,
BE35,"Lincoln Highway, Berwyn",,Place,
BE36,"Lincoln Highway, Berwyn",,Place,
BE37,"Lincoln Highway, Berwyn",,Place,
BE38,"Lincoln Highway, Berwyn",,Place,
BE39,"Fire Scene, Berwyn",,Place,
BE4,"Lincoln Highway, Berwyn",,View,
BE40,"Fire Scene, Berwyn",,Place,
BE43,"Lincoln Highway, Berwyn",,View,
BE44,Berwyn Panorama,,Place,
BE5,Berwyn Pharmacy,,Businesses,
BE56,Berwyn from Main Line Apartments,,Place,
BE57,"Lincoln Highway, Berwyn",,Place,
BE58,"Lincoln Highway, Berwyn",,Place,
BE59,"Bridge Avenue, Berwyn",,Place,
BE6,Berwyn Post Office and Bank,,Businesses,
BE60,Unknown View,,Place,
BE61,"Warren Avenue, Berwyn",,View,
BE62,"Warren Avenue, Berwyn",,View,
BE63,"Twin Oaks, Berwyn",,View,
BE64,"Downed tree outside 65 Conestoga Road, Berwyn",,View,
BE65,"Cassatt Avenue from Lancaster Avenue, Berwyn",,View,
BE66,A view of the Village of Berwyn,,View,
BE67,"Reading Room, Berwyn",,Service,
BE68,Church Avenue leading from Berwyn Station P.R.R.,,Place,
BE69,"Site of Bronze Works, Berwyn",,Place,
BE7,Berwyn Post Office,,Businesses,
BE70,"View from rear of Berwyn Station, P.R.R.",,Place,
BE71,"Upper Bridge, Berwyn",,View,
BE72,"Covered Bridge, State Road, Berwyn",,View,
BE74,Trout Run below Laurel Dell,,View,
BE75,Unknown view,,View,
BE76,"Sleet Storm, Berwyn",,View,
BE78,"Stairs facing Lancaster Pike and Main Avenue, 1904",,View,
BE79,A Water Tower near Berwyn,,View,
BE8,Berwyn ACME Store,,Businesses,
BE80,"Valley Forge Rd, Warren Ave. and Lancaster Pike, facing east towards Wynburne Inn, Berwyn",,View,
BE81,Panoramic view of Berwyn (from Hillcrest),,View,
BE83,Snowstorm at Williams Crossroads,,View,
BE84,A view of the intersection of Warren Avenue and Lancaster Turnpike,,View,
BE85,Williams Corner in winter,,Place,
BE87,"Route 30, Berwyn",,Road,
BE88,Berwyn from First Avenue,,View,
BE89,Berwyn WWII plaque,,Place,
BE9,Berwyn Volunteer Fire Company,,Services,
BE90,Berwyn WWII plaque,,Place,
BE91,"Parade, Lincoln Highway Berwyn",,View,
BE93,North Berwyn,,View,
BE94,Berwyn War Memorial,,Place,
BE95,Berwyn War Memorial,,Place,
BE97,Conestoga and Cassatt Roads,,Place,
BEA01,4 Generations of the Beadle family,,person,
BEA02,Beadle family,,person,
BEA03,Beadle family,,person,
BEP1,Dedication of Berwyn Roll of Honor,,Place,
BEP11,Sunoco Gas Station,,Businesses,
BEP15,Postman,,Businesses,
BEP16,Firemen in Action,,Services,
BEP19,Lou's Place,,Businesses,
BEP2,"Lancaster Avenue, Berwyn",,View,
BEP20,Eastown Township Road Crew,,Transportation,
BEP21,"Lincoln Highway, Berwyn",,View,
BEP22,Mack Oil Company,,Businesses,
BEP25,Cake Eating Contest,,person,
BEP26,Berwyn Boy's Club Baseball team,,Sports,
BEP27,"Bobby Graves and Betty Kelly, champion cake eaters",,person,
BEP30,"ACME (Lincoln Highway at Main Avenue, Berwyn)",,View,
BEP31,"Berwyn P.O., Doc's and Cas's",,Businesses,
BEP32,"Roop, Gibbs, Emory Inc. (Berwyn National Bank)",,Businesses,
BEP33,Lincoln Highway at Waterloo Avenue,,View,
BEP36,Bill Pyott's Berwyn Esso Station,,Businesses,
BEP37,Berwyn Fire Company 'smokeaters' manning their trucks,,Services,
BEP38,Berwyn's Old Timers' Ball Team,,Sports,
BEP39,Devon Horse Show,,Cultural,
BEP40,Devon Horse Show,,Cultural,
BEP43,Bob Goebel and staff of the Berwyn Post,,Businesses,
BEP44,Post picnic at Pyle's,,Businesses,
BEP45,Aerial Photograph of Paoli,,View,
BEP46,Aerial Photograph of Berwyn,,View,
BEP47,Snowstorm,,View,
BEP49,Untitled image BEP49,,person,
BEP5,"The Main Drag, Berwyn",,View,
BEP50,"Looking east on Berwyn Avenue, from Main Avenue, Berwyn",,View,
BEP51,Snowbound cars in station parking lot,,View,
BEP55,American Non-Gran Bronze,,Businesses,
BEP56,Walt Brown's Service Station at Centerville,,Businesses,
BEP57,Grass Skirts,,person,
BEP59,Berwyn Bronze Bearing Company,,Businesses,
BEP6,Ye Opry House (Berwyn Theater),,Businesses,
BEP60,Berwyn and Radnor Firemen,,Services,
BEP62,Berwyn and Radnor Firemen,,Services,
BEP63,Clarke's,,Businesses,
BEP64,"Harry Lewis, police chief",,person,
BEP67,Dr. R.C. Hughes,,person,
BEP69,Paoli Honor Roll,,Place,
BEP7,Devon Honor Roll,,Place,
BEP70,American Non-gran Bronze Company Honor Roll,,Businesses,
BEP72,Wrenecin's old swimming hole,,Place,
BEP73,Good's Store,,Businesses,
BEP74,Tredyffrin Township Building,,Place,
BEP76,Knitting Mill (Old Easttown/Berwyn Primary School),,Businesses,
BEP78,Village Chemist,,person,
BEP79,Truck with women,,person,
BEP80,Baby Coach with Flags,,person,
BEP81,Jack Thomas with twins,,person,
BEP83,New Post Office site,,Businesses,
BEP84,The Blue Jay,,Businesses,
BEP86,"McAllister's Tire Shop, Berwyn",,Businesses,
BEP87,Lancaster Avenue,,View,
BEP9,"David Preston, Shoemaker",,Businesses,
BET03,Berwyn Theater,,Place,
BET04,Berwyn Theater,,Place,
BET05,Berwyn Theater,,Place,
BET06,Berwyn Theater,,Place,
BET07,Berwyn Theater,,Place,
BET08,Berwyn Theater,,Place,
BET09,Berwyn Theater,,Place,
BET10,Berwyn Theater,,Place,
BET11,Berwyn Theater,,Place,
BET12,Berwyn Theater,,Place,
BET13,Berwyn Theater,,Place,
BET14,Berwyn Theater,,Place,
BET15,Berwyn Theater,,Place,
BET16,Berwyn Theater,,Place,
BFB1,Bean Sand Crusher,,Businesses,
BFC05,Berwyn Fire Company,,Service,
BFC06,Fireman’s Parade on Francis Avenue,,Service,
BFC07,Berwyn Fire House,,Service,
BFC1,Berwyn Fire Company,,Place,
BFC10,Berwyn Fire Company in action,,Service,
BFC11,Berwyn Fire Company,,Service,
BFC12,Berwyn Fire Company,,Service,
BFC13,Berwyn Fire Company,,Service,
BFC14,Berwyn Fire Company,,Service,
BFC15,Berwyn Fire Company,,Service,
BFC16,Berwyn Fire Company,,Service,
BFC18,Berwyn Fire Company Banner,,Service,
BFC19,Berwyn Fire Company Station and Equipment,,Service,
BFC2,Berwyn Fire Company,,Service,
BFC20,Berwyn Fire Company Ambulance,,Service,
BFC21,"Ladies Auxiliary, Berwyn Fire Company",,Service,
BFC22,"Berwyn Fire Company Equipment, 1908",,Service,
BFC23,Berwyn Fire Company 1955 Ladder Truck,,Service,
BFC24,Berwyn Fire Company Active Force,,Service,
BFC25,Berwyn Fire Company Ambulance Crews,,Service,
BFC26,"Berwyn Fire Company Band, 1908",,Service,
BFC27,Berwyn Fire Company Board of Directors,,Service,
BFC28,"Berwyn Fire Company Breaking Ground, 1929",,Service,
BFC29,Berwyn Fire Company Chiefs,,Service,
BFC2b,Back of BFC2,,Service,
BFC3,Berwyn Fire House,,Service,
BFC30,Upper Main Line Fire Board Dispatchers,,Service,
BFC31,Berwyn Fire Company Elected Officers,,Service,
BFC32,Berwyn Fire Company Engineers,,Service,
BFC33,Berwyn Fire Company Fire Police,,Service,
BFC34,"Fire Station, Berwyn Fire Company",,Service,
BFC35,"LaFrance Pumper, 1917",,Service,
BFC36,"Waterous Pumper, 1906",,Service,
BFC37,Berwyn Fire Company Centennial,,Organization,
BFC38,Berwyn Fire Company Centennial,,Organisation,
BFC4,Berwyn Fire Company,,Service,
BG01,Betner Paper Bag Factory,,Businesses,
BG02,Betzwood Studios,,Businesses,
BG03,Betzwood Studios,,Businesses,
BG04,Betzwood Studios,,Businesses,
BG05,Betzwood Studios,,Businesses,
BG06,Chesterbrook Mill,,Mills,
BG07,Knox Covered Bridge,,Place,
BG08,Doyle's Nursery,,Place,
BG24,Unknown Building,,Place,
BIP1,Berwyn Ice Plant after fire,,Businesses,
BIP2,Berwyn Ice Plant after fire,,Businesses,
BOC01,"Bocce Club, Lehigh Avenue, Devon",,Service,
BOC02,"Bocce Club, Lehigh Avenue, Devon",,Service,
BP1,Liberty Bell on its way to California,,Transportation,
BP2,Unidentified Woman & son,,person,
BP3,Mother & Father,,person,
BP4,Camp Life,,person,
BP5,MED - JW,,person,
BP6,Portrait of 2 girls and a boy,,person,
BP7,Portrait of 5 women,,person,
BP8,Father and 2 kids,,person,
BPS04,Berwyn School Class,,person,
BPS05,Berwyn School Class,,person,
BRI02,"Cedar Hollow Bridge over Valley Creek, #171; east side looking west",,Road,
BRI03,"Cedar Hollow Bridge over Valley Creek, #171; west side looking east",,Road,
BRI04,"Cedar Hollow Bridge over Valley Creek, #171; plaque",,Road,
BRI05,"Cedar Hollow Bridge over Valley Creek, #171; looking south over Valley Creek",,Road,
BRI06,"Cedar Hollow Bridge over Valley Creek, #171; looking north over Valley Creek",,Road,
BTO01,Bella Toner,,person,
BTO02,"Bella Toner and chickens, Centerville Station, Chester Valley Railroad",,person,
BTO03,"Bella Toner gardening, New Centerville station, Chester Valley Railroad",,person,
BTO04,"Bella Toner at telegraph, New Centerville station, Chester Valley Railroad",,person,
BTO05,"Bella Toner,",,person,
BUF01,Mildred Miller Burruss,,person,
BUF02,Mildred Miller Burruss,,person,
BUF03,Charles Burruss and unidentified woman,,person,
BUF05,Mildred Burruss and 2 friends,,person,
BUF06,Mildred Burruss,,person,
BUF07,Burruss Family in Berwyn,,person,
BUF09,Marriage license James Burruss and Mary Ray,,person,
BUF10,Marriage license of Charles Burruss and Mildred Miller,,person,
BUR01,Edna Garber Burns,,person,
BUR02,Raymond D. Burns,,person,
BUR03,Penn State Civil Engineering Graduates,,person,
BUR04,Mary M. & Edna G. Burns,,person,
BUR05,Edna & Raymond Burns,,person,
BUR06,Raymond & ? Burns,,person,
BUR07,Raymond & ? Burns,,person,
BUR08,Edna & Raymond Burns,,person,
BUR09,Edna & Raymond Burns,,person,
BUR10,Edna & Raymond Burns,,person,
BUR11,Edna & Raymond Burns,,person,
BUR12,Raymond D. Burns,,person,
BUR13,Raymond Burns & C.S. Hager,,person,
BUR14,Raymond D. Burns,,person,
BUR15,Edna & Raymond Burns,,person,
BUR16,Edna & Raymond Burns,,person,
BUR17,Edna Garber Burns,,person,
BUR18,Penn State Graduates?,,person,
BUR19,Raymond D. Burns,,person,
BUR20,Raymond D. Burns,,person,
BUR21,Raymond D. Burns,,person,
BUR22,Raymond D. Burns,,person,
BUR23,Raymond D. Burns,,person,
BUR25,Raymond D. Burns,,person,
BUR26,Raymond D. Burns,,person,
BUR27,Raymond D. Burns,,person,
BUR28,Raymond D. Burns,,person,
BUR29,Raymond D. Burns,,person,
BUR30,Raymond D. Burns,,person,
BUR31,Raymond D. Burns,,person,
BUR32,Raymond D. Burns,,person,
BUR33,Raymond D. Burns,,person,
BUR34,Raymond D. Burns,,person,
BUR35,Raymond D. Burns,,person,
BUR36,Raymond D. Burns,,person,
BUR37,Raymond D. Burns,,person,
BUR38,Raymond D. Burns,,person,
BUR39,Raymond D. Burns,,person,
BUR40,Raymond D. Burns,,person,
BUR41,Raymond D. Burns,,person,
BUR42,Raymond D. Burns,,person,
BUR43,Raymond D. Burns,,person,
BUR45,Raymond D. Burns,,person,
BUR48,Raymond D. Burns,,person,
BUS1,"Hall, Hall & Hibbard",,Businesses,
BUS19,Unknown Quarry,,Quarry,
BUS2,"Ralph Edwards Garage (also known as Ottey's garage), Lancaster Avenue, Paoli",,Businesses,
BUS71,Brackbill’s Motel,,,donation:0
BUS71b,Back of BUS71,,,donation:0
CAA05,"Cassatt Avenue, Berwyn",,View,
CAA06,"Cassatt Avenue, Berwyn",,View,
CAA08,"Cassatt Avenue Bridge, Berwyn",,Road,
CAA09,"Cassatt Avenue Bridge, Berwyn",,Road,
CAA1,"Cassatt Avenue, Berwyn looking north",,View,
CAA10,"Cassatt Avenue Bridge, Berwyn",,Road,
CAA11,"Cassatt Avenue Bridge, Berwyn",,Road,
CAA12,"Cassatt Avenue Bridge, Berwyn",,Road,
CAA2,"Cassatt Avenue, Berwyn looking north",,View,
CAA3,"Cassatt Avenue, Berwyn",,Road,
CAR1,Cassatt Road,,Place,
CAR10,Cassatt Road,,Place,
CAR11,Cassatt Road,,Place,
CAR12,Cassatt Road,,Place,
CAR13,State & Cassatt Roads,,Place,
CAR14,Cassatt Road,,Place,
CAR15,Cassatt Road,,Place,
CAR16,Cassatt Road,,Place,
CAR17,Cassatt Road,,Place,
CAR18,"Cassatt Road, Berwyn",,Place,
CAR19,Cassatt Road,,Place,
CAR2,Cassatt Road,,Place,
CAR20,Cassatt Road,,Place,
CAR21,Cassatt Road,,Place,
CAR22,Cassatt Road,,Place,
CAR23,Cassatt Road,,Place,
CAR24,Cassatt Road,,Place,
CAR25,Looking south on Cassatt and State Roads,,View,
CAR27,Cassatt and Conestoga Roads,,View,
CAR28,Cassatt Road being widened,,View,
CAR3,Cassatt Road,,Place,
CAR4,Cassatt Road,,Place,
CAR5,Cassatt Road,,Place,
CAR6,Cassatt Road,,Place,
CAR7,Cassatt Road,,Place,
CAR8,Cassatt Road,,Place,
CAR9,Berwyn scene,,Place,
CCT01,An imagining of Cockletown,,Place,donation:0
CEH02,Cedar Tree at Cedar Hollow,,View,
CEH1,Three Good Democrats,,person,
CH22,Berwyn 75th Anniversary Service,,Cultural,
CHE04,Chesterbrook Farm,,View,
CHE05,Chesterbrook Farm,,View,
CHE1,Alexander Murdock,,person,
CHE17,Chesterbrook Boulevard,,View,
CHE18,Chesterbrook Boulevard,,View,
CHE19,Chesterbrook Village Center,,,donation:0
CHE2,Carriages at Chesterbrook Farm,,Transportation,
CHE20,Chesterbrook Village Center,,,donation:0
CHE21,Chesterbrook Village Center,,,donation:0
CHE22,Chesterbrook Village Center,,,donation:0
CHE23,Chesterbrook Village Center,,,donation:0
CHE24,Chesterbrook Village Center,,,donation:0
CHE25,North Valley Hills,,View,donation:0
CHE26,North Valley Hills,,View,donation:0
CHE27,North Valley Hills,,View,donation:0
CHE28,North Valley Hills,,View,donation:0
CHE29,Chesterbroook and North Valley Hills,,View,donation:0
CHE30,Chesterbroook and North Valley Hills,,View,
CHE31,North Valley Hills,,View,
CHE32,North Valley Hills,,View,
CHE33,North Valley Hills,,View,
CHE34,Chesterbrook,,View,
CHE35,Chesterbrook,,View,
CHE36,Chesterbrook,,View,
CHE37,Chesterbrook,,View,
CHE38,Chesterbrook,,View,
CHE39,Chesterbrook,,View,
CHE40,Chesterbrook,,View,
CHE41,"Duportail Barn, Chesterbrook",,View,
CHE42,"Duportail Barn, Chesterbrook",,View,
CHE43,Chesterbrook,,View,
CHE44,Chesterbrook,,View,
CHE45,Chesterbrook,,View,
CHE46,Chesterbrook,,View,
CHE47,"Barn, Chesterbrook",,View,
CHE48,"Barn, Chesterbrook",,View,
CHE49,"Barn, Chesterbrook",,View,
CHE50,Chesterbrook,,View,
CHE51,Chesterbrook,,View,
CHE61,Chesterbrook Farm,,Places,
CHE62,Chesterbrook Farm,,Places,
CHE63,Chesterbrook Farm,,Places,
CHE64,Chesterbrook Farm,,Places,
CHS07,Chesterbrook Shopping Center,,,donation:0
CLF01,Mabel Mae Johnston,,person,
CLF02,George W. Clemmans,,person,
CLF03,George W. Clemmans,,person,
CLF04,George C. Clemmans and Lulu F. Kerrigan,,person,
CMR05,"W. T. Comer, Tredyffrin Supervior, Retirement Dinner",,person,
CMR06,"W. T. Comer, Tredyffrin Supervisor, Retirement Dinner",,person,
CMR07,Early Traffic Lights in Tredyffrin township,,Road,
COR01,Conestoga Road,,Place,
COR02,"Harry K. Ong house, Conestoga Road",,Place,
COR03,"Ong home, corner of Bair and Conestoga Roads",,Place,
COR04,Conestoga Road,,Place,
COR05,"Former home of Mrs John Heagy,  Conestoga Road",,Place,
COR06,"Former home of Mrs John Heagy, 755 Conestoga Road",,Place,
COR07,"Former home of Mrs John Heagy, Conestoga Road",,Place,
COR08,Rear of 765 Conestoga Road,,Place,
COR09,Conestoga Road,,Place,
COR10,"W. C. Latch home, Conestoga Road",,Place,
COR11,"Mansley house, 759 Conestoga Road",,Place,
COR12,"Mansley home, 759 Conestoga Road",,Place,
COR13,"Norcini's house being built, Conestoga Road",,Place,
COR14,Conestoga Road being relaid 1970,,Place,
COR15,Conestoga Road being relaid 1970,,Place,
COR16,Conestoga Road being relaid 1970,,Place,
COR17,678 Conestoga Road,,Place,
COR18,678 Conestoga Road,,Place,
COR19,617 Conestoga Road,,Place,
COR20,617 Conestoga Road,,Place,
COR21,586 Conestoga Road,,Place,
COR22,586 Conestoga Road,,Place,
COR23,560 Conestoga Road,,Place,
COR24,560 Conestoga Road,,Place,
COR25,Conestoga Road,,Place,
COR26,"Conestoga Road, work outside Hillcrest",,Place,
COR27,Conestoga Road outside Bair estate,,Place,
COR28,Conestoga Road at Bairs estate,,Place,
COR29,Conestoga Road at Bair estate,,Place,
COR30,"Pavement preparation, Conestoga Road",,Place,
COR31,"Pavement work, Conestoga Road",,Place,
COR32,"Pavemnet work, Conestoga Road",,Place,
COR33,"Sewer work, Conestoga Road",,Place,
COR34,"Storm damage, Conestoga Road",,Place,
COR35,"Sewer work, Conestoga Road",,Place,
COR36,Conestoga Road,,View,
COR37,Conestoga Road,,View,
COR38,Conestoga Road,,View,
COR39,Conestoga Road at Bair Avenue,,View,
COR40,Conestoga Road,,View,
COR41,Conestoga Road,,View,
COR42,Conestoga Road,,View,
COR43,Conestoga Road,,View,
COR44,Conestoga Road,,View,
COR45,Conestoga Road,,View,
COR46,Conestoga Road,,View,
COS05,Colonial Springs Bottling Plant,,Colonial Springs Bottling Plant,
CUH1,Chopping mutton for a pie,,Cultural,
CUH2,Dinner Preparation,Marple,Cultural,
CUH3,Mending Shift,Marple,Cultural,
CUH4,Bread cooling,,Cultural,
CUH5,Chopped egg sauce,Marple,Cultural,
CUR62,"Continental 1/6 Dollar note, 1776",,Service,
CUR63,"New Jersey 1 cent coin, 1786",,Service,
CUR64,"Piece of Eight, 19th century",,Service,
CUR65,"Spanish Dollar Coin, 1762",,Service,
CVR18,View of Bridgeport,,View,
CVR21,"“Iron Horse Ramble” through Bridgeport, April 30, 1960.",Bridgeport,,
CVR53,"Former Bethlehem Steel Co. King Manor quarry, Upper Merion Township,  October 1968",,Quarry,
CWB04,Carriage Way Houses,,Place,
CWB05,Carriage Way Houses,,Place,
CWB06,Carriage Way Houses,,Place,
CWB07,Carriage Way Houses,,Place,
CWB08,Carriage Way Houses,,Place,
CWB09,Carriage Way Houses,,Place,
CWB1,"Carriage Way, Berwyn",,Place,
CWB10,"4 Carriage Way, Berwyn",,Place,
CWB11,"4 Carriage Way, Berwyn",,Place,
CWB12,"4 Carriage Way, Berwyn",,Place,
CWB13,"4 Carriage Way, Berwyn",,Place,
CWB14,"4 Carriage Way, Berwyn",,Place,
CWB15,"4 Carriage Way, Berwyn",,Place,
CWB16,"4 Carriage Way, Berwyn",,Place,
CWB17,"4 Carriage Way, Berwyn",,Place,
CWB18,"4 Carriage Way, Berwyn",,Place,
CWB19,"4 Carriage Way, Berwyn",,Place,
CWB2,"Carriage Way, Berwyn",,Place,
CWB20,"4 Carriage Way, Berwyn",,Place,
CWB21,"4 Carriage Way, Berwyn",,Place,
CWB22,"4 Carriage Way, Berwyn",,Place,
CWB23,Carriage Way Houses,,Place,
CWB24,Carriage Way Houses,,Place,
CWB3,"Carriage Way, Berwyn",,View,
CWI1,Covered Wagon Inn,,inn,
CWI2,Covered Wagon Inn,,inn,
DAI01,Aero Service Company Aerial Image of Devon Horse Show area,,Cultural,
DAI02,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI03,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI04,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI05,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI06,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI07,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI08,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI09,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI10,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI11,Aerial Image of Devon Horse Show area,,Cultural,
DAI12,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI13,Aerial Image of Devon Horse Show area,,Cultural,
DAI14,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI15,Aerial Image of Devon Horse Show area,,Cultural,
DAI16,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI17,Aerial Image of Devon Horse Show area,,Cultural,
DAI18,Dallin Aerial Image of Devon Horse Show area,,Cultural,
DAI19,Aerial Image of Devon Horse Show area,,Cultural,
